1,直角三角形の斜辺の長さの２乗は、他の２辺の長さの２乗の和に等しいという定理を何というでしょう？,ピタゴラスの定理
2,父のフィリッポス２世のあとを継ぎ、東方遠征により大帝国を築いた古代マケドニアの王は誰でしょう？,アレクサンドロス大王
3,その全長はクフ王のピラミッドや始皇帝の墓を上回る、大阪府堺市にある日本最大の前方後円墳は何でしょう？,大仙陵古墳
4,フラッシュメモリのように、電源を切っても記憶したデータが失われないメモリを何というでしょう？,不揮発性メモリ
5,辛亥革命のあと、孫文から中華民国臨時大総統の地位を譲り受け、独裁政治を行った軍人は誰でしょう？,袁世凱
6,BTB溶液を加えた水溶液が黄色を呈したとき、その水溶液は酸性・中性・アルカリ性のどれにあてはまるでしょう？,酸性
7,実況の「13歳、真夏の大冒険」というフレーズは流行語となった、昨年(2021年)の東京五輪スケートボード・女子ストリートで金メダルを獲得した日本の選手は誰でしょう？,西矢椛
8,645年に起こり大化の改新の発端となった、中大兄皇子と中臣鎌足が政権を握る蘇我氏を滅ぼした事件を何というでしょう？,乙巳の変
9,価格と品質の関係のように、一方を追求するともう一方が犠牲となるような関係を英語で何というでしょう？,トレードオフ
10,おおいぬ座の口元に輝く、一等星の中で最も明るい恒星は何でしょう？,シリウス
11,空気中で加熱すると激しい光を発して燃焼する、元素記号Mgで表される金属元素は何でしょう？,マグネシウム
12,駿河湾から日向灘沖にかけての海底に存在する、付近での巨大地震の発生が危惧されているトラフは何でしょう？,南海トラフ
13,1976年に発覚し前首相の田中角栄らが逮捕された、航空機の購入をめぐる汚職事件は何でしょう？,ロッキード事件
14,一般的な６面サイコロを１つふったとき、出る目の期待値はいくつになるでしょう？,3.5
15,信号機ですべての車の流れを止めることで、歩行者が自由に横断できる時間を設けた交差点を何というでしょう？,スクランブル交差点
